id,title,description,availability,condition,price,link,image_link,brand
ftdmesh-001,Heltec LoRa32 V3 – Nodo Meshtastic,"El nodo Meshtastic de entrada más popular. ESP32-S3 con SX1262, pantalla OLED 0.96"" y WiFi integrado. Compacto (52×23mm), liviano y con conector para batería LiPo. Ideal para primeros pasos en la red mesh. Banda 915 MHz, TX 22dBm, USB-C. Firmware Meshtastic pre-instalado.",in stock,new,260.00 PEN,https://anotami.github.io/FTDMesh/productos.html?producto=heltec-v3-lite,https://anotami.github.io/FTDMesh/images/dispositivos/heltec-v3-lite.jpg,FTDMESH
ftdmesh-002,LILYGO T-Beam v1.2 – GPS + Meshtastic,"El clásico de Meshtastic. GPS NEO-6M integrado, WiFi, Bluetooth y compatibilidad con batería 18650. Porta-batería incluido. El favorito de la comunidad para rastreo y comunicación outdoor de largo alcance. 915 MHz, SX1276, ESP32.",in stock,new,310.00 PEN,https://anotami.github.io/FTDMesh/productos.html?producto=t-beam-v12,https://anotami.github.io/FTDMesh/images/dispositivos/t-beam-v12.jpg,FTDMESH
ftdmesh-003,Heltec Mesh Node T114 v2 – Bajo Consumo,"Nodo de bajo consumo basado en nRF52840 de Nordic. Pantalla TFT a color 1.14"", SX1262 y BLE 5.0. Hasta 72h con LiPo 2000mAh. Ideal para nodos estáticos, repetidores y rastreo prolongado sin recarga. USB-C, 915 MHz.",in stock,new,330.00 PEN,https://anotami.github.io/FTDMesh/productos.html?producto=heltec-mesh-node-t114,https://anotami.github.io/FTDMesh/images/dispositivos/heltec-mesh-t114.jpg,FTDMESH
ftdmesh-004,RAK4631 WisBlock – Modular Expandible,"La plataforma modular más expandible de Meshtastic. Núcleo nRF52840 + SX1262. Añade GPS, sensores ambientales, pantalla, carga solar y más con módulos WisBlock enchufables. La elección profesional para despliegues IoT personalizados. 915 MHz, BLE 5.0.",in stock,new,370.00 PEN,https://anotami.github.io/FTDMesh/productos.html?producto=rak4631-wisblock,https://anotami.github.io/FTDMesh/images/dispositivos/rak4631-wisblock.jpg,FTDMESH
ftdmesh-005,LILYGO T-Echo – Pantalla e-Paper Solar,"Pantalla e-Paper 1.54"" legible bajo el sol sin consumir energía. GPS L76K, nRF52840 y LoRa SX1262. Perfecto para senderismo, montaña y zonas con alta exposición solar. Batería 1000mAh incluida. 72–168h de autonomía. 915 MHz.",in stock,new,480.00 PEN,https://anotami.github.io/FTDMesh/productos.html?producto=lilygo-t-echo,https://anotami.github.io/FTDMesh/images/dispositivos/t-echo.jpg,FTDMESH
ftdmesh-006,LILYGO T-Beam Supreme – GPS Multi-Constelación,"La evolución del T-Beam clásico. ESP32-S3 a 240MHz, GPS L76K multi-constelación y SX1262 de última generación. WiFi y BT 5.0 simultáneos. Pantalla OLED 0.96"" y compatibilidad con baterías 18650. 915 MHz, 22 dBm.",in stock,new,480.00 PEN,https://anotami.github.io/FTDMesh/productos.html?producto=t-beam-supreme,https://anotami.github.io/FTDMesh/images/dispositivos/t-beam-supreme.jpg,FTDMESH
ftdmesh-007,Seeed Card Tracker T1000-E – IP65 Tamaño Tarjeta,"Tracker Meshtastic del tamaño exacto de una tarjeta de crédito (85×54×6mm). IP65, GPS multi-constelación y LoRa 915MHz. Batería 700mAh sellada. Ideal para rastreo de activos, vehículos, mochilas y personas. Solo 19g.",in stock,new,520.00 PEN,https://anotami.github.io/FTDMesh/productos.html?producto=seeed-card-tracker-t1000e,https://anotami.github.io/FTDMesh/images/dispositivos/seeed-card-tracker.webp,FTDMESH
ftdmesh-008,Station G2 – Router / Repetidor Meshtastic,"El repetidor/router Meshtastic más potente. Ethernet 10/100, WiFi y conector N-Type para antena externa. Alimentable por PoE, solar o DC. Instalación permanente en postes, torres y techos. TX 30 dBm, 915 MHz.",in stock,new,590.00 PEN,https://anotami.github.io/FTDMesh/productos.html?producto=station-g2,https://anotami.github.io/FTDMesh/images/dispositivos/station-g2.jpg,FTDMESH
ftdmesh-009,LILYGO T-Internet-COM – Gateway MQTT,Gateway para conectar tu red Meshtastic a internet. SX1276 + ESP32 + Ethernet W5500. Conéctalo a tu router con RJ45 y publica todos los mensajes mesh al broker MQTT. microSD para logging local. 915 MHz.,in stock,new,620.00 PEN,https://anotami.github.io/FTDMesh/productos.html?producto=lilygo-t-internet-com,https://anotami.github.io/FTDMesh/images/dispositivos/t-internet-com.jpg,FTDMESH
ftdmesh-010,LILYGO T-Deck Plus – Comunicador QWERTY Táctil,"El comunicador Meshtastic más completo. Teclado QWERTY físico 50 teclas, pantalla IPS táctil 2.8"", GPS L76K, micrófono y parlante integrado. ESP32-S3, WiFi, BT 5.0. Batería 2000mAh incluida. Compatible con ATAK. 915 MHz.",in stock,new,740.00 PEN,https://anotami.github.io/FTDMesh/productos.html?producto=t-deck-plus,https://anotami.github.io/FTDMesh/images/dispositivos/t-deck-plus.jpg,FTDMESH
